Age_j;Masse_g;Masse_kg;gamma_1
1;54;0.054;0.013
2;67;0.067;0.0135
3;81;0.081;0.015
4;97;0.097;0.0175
5;116;0.116;0.0195
6;136;0.136;0.022
7;160;0.16;0.024
8;184;0.184;0.0265
9;213;0.213;0.03
10;244;0.244;0.032
11;277;0.277;0.0345
12;313;0.313;0.0375
13;352;0.352;0.0395
14;392;0.392;0.042
15;436;0.436;0.0455
16;483;0.483;0.058
17;552;0.552;0.0505
18;584;0.584;0.0425
19;637;0.637;0.0545
20;693;0.693;0.0575
21;752;0.752;0.0595
22;812;0.812;0.061
23;874;0.874;0.063
24;938;0.938;0.065
25;1004;1.004;0.0665
26;1071;1.071;0.068
27;1140;1.14;0.069
28;1209;1.209;0.07
29;1280;1.28;0.0715
30;1352;1.352;0.0725
31;1425;1.425;0.0735
32;1499;1.499;0.074
33;1573;1.573;0.0745
34;1648;1.648;0.0755
35;1724;1.724;0.076
36;1800;1.8;0.076
37;1876;1.876;0.076
38;1952;1.952;0.076
39;2028;2.028;0.076
40;2104;2.104;0.076
41;2180;2.18;0.076
42;2256;2.256;0.076
43;2332;2.332;0.075
44;2406;2.406;0.0745
45;2481;2.481;0.075
46;2556;2.556;0.074
47;2629;2.629;0.073
48;2702;2.702;0.0725
49;2774;2.774;0.072
50;2846;2.846;0.071
51;2916;2.916;0.0755
52;2997;2.997;0.07
53;3056;3.056;0.0635
54;3124;3.124;0.0675
55;3191;3.191;0.0665
56;3257;3.257;0.066
